Unnamed: 0,Unnamed: 1,Box 1 Dimension Details,Unnamed: 3,Unnamed: 4,Unnamed: 5,Box 2 Dimension Details,Unnamed: 7,Unnamed: 8,Unnamed: 9,Box 3 Dimension Details,Unnamed: 11,Unnamed: 12,Unnamed: 13,Vol.Wht,Total Weight,Unnamed: 16,Chg.Wht,Theoretical Weight ,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
,,Long,Med,Smal,Sys.Wht,Long,Med,Smal,Sys.Wht,Long,Med,Smal,Actual.Wht,6,Actual.Wht,Wht (Kgs),,,Difference,Diff %,CBF,KG/CBF,Remark
MTP SKU Code,SB/MB,Lcm,Bcm,Hcm,PW(gm),Lcm,Bcm,Hcm,PW(gm),Lcm,Bcm,Hcm,PW(gm),Kgs,Gms,Kgs,,,,,,,
B-MLT-KT,MB,203,39,7,26950,194,80,5,33000,102,93,6,38750,2270.3553307200004,98700,98.7,2270.3553307200004,88614.9802502,-10085.019749800005,-0.11380716580114844,378.39255512000005,0.26084022707238297,phy. not avilable
B-MLT-QT,MB,205,40,7,27250,164,63,4,23300,102,79,6,37750,31.168345920000004,88300,88.3,88.3,83135.09853455199,-5164.9014654480125,-0.06212660544693304,5.194724320000001,16.998014631890992,Ok
B-POL-KN,MB,,,,,,,,,,,,,0,0,0,0.0,70721.91843176,70721.91843176,1,0,,phy. not avilable
B-POL-KT,MB,206,40,7,36100,149,40,6,23600,104,79,7,37460,31.98974784,97160,97.16,97.16,94601.157959616,-2558.842040383999,-0.02704873910186528,5.33162464,18.223338393154396,ok
B-POL-QN,MB,,,,,,,,,,,,,0,0,0,0.0,60043.68383254,60043.68383254,1,0,,phy. not avilable
B-POL-QT,MB,208,49,7,33800,163,40,6,20600,101,80,6,37000,33.68341248,91400,91.4,91.4,75619.77406233599,-15780.225937664014,-0.20867856500940918,5.61390208,16.28101072970621,ok
B-POL-SN,MB,206,48,6,33550,105,97,3,14800,,,,,19.04800536,48350,48.35,48.35,40998.31180456001,-7351.688195439987,-0.1793168516422254,3.17466756,15.229941115472261,ok.
B-RVB-KN,MB,207,50,8,46400,106,98,5,29850,,,,,28.5541008,76250,76.25,76.25,56053.896042839995,-20196.103957160005,-0.3602979522016604,4.7590168,16.022217026004192,ok
B-RVB-QN,MB,207,51,8,42600,107,80,5,54000,,,,,26.96809152,96600,96.6,96.6,61659.10112961999,-34940.89887038001,-0.5666786934977713,4.4946819200000006,21.492065894620634,ok
B-RVB-SN,MB,120,39,8,33000,97,56,5,14900,,,,,13.690032000000002,47900,47.9,47.9,41738.71856906,-6161.281430939998,-0.14761549089595724,2.2816720000000004,20.993376786847534,ok
B-RVB-D36N,SB,188,44,9,37300,,,,,,,,,15.777020160000001,37300,37.3,37.3,34586.52524406001,-2713.474755939991,-0.07845467958380732,2.62950336,14.185188187019467,ok
BT-CO,SB,74,40,6,6600,,,,,,,,,3.7636992000000005,6600,6.6,6.6,6060.5377856,-539.4622144000004,-0.08901226813266921,0.6272832,10.521563466070827,ok
