MANUAL ENTRIES HERE,Unnamed: 1,Box 1 Dimension Details,Unnamed: 3,Unnamed: 4,Unnamed: 5,Box 2 Dimension Details,Unnamed: 7,Unnamed: 8,Unnamed: 9,Box 3 Dimension Details,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Vol.Wht,Total Weight,Unnamed: 17,Chg.Wht,Theoretical Weight ,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
,,Long,Med,Smal,Actual.Wht,Long,Med,Smal,Actual.Wht,Long,Med,Smal,Actual.Wht,CBF,6,Phys.Wht,Wht(Kgs),,,Difference,Diff %,KG/CBF,,Remark
MTP SKU Code,SB/MB,Lcm,Bcm,Hcm,PW(gm),Lcm2,Bcm3,Hcm4,PW(gm)5,Lcm6,Bcm7,Hcm8,PW(gm)9,Column15,Kgs,Gms,Kgs10,Column11,Column12,Column13,Column14,Column16,x,Remark
B-MLT-KT,MB,204,39,6,26800,190,80,6,32100,107,96,7,40400,7.4468688,99300,99300,99300,99300,99300,0,0,13334.463472755153,,phy. not avilable
B-MLT-QT,MB,204,39,7,25770,162,81,5,28000,104,80,7,35000,6.341423440000001,88770,88770,88770,88770,88770,0,0,13998.434395669372,,ok
B-POL-KN,MB,205,54,10,35000,105,94,5,35000,,,,,5.652966,70000,70000,70000,70000,70000,0,0,12382.8800668534,,phy. not avilable
B-POL-KT,MB,207,38,8,34800,192,40,6,22700,105,96,7,38800,6.34234176,96300,96300,96300,96300,96300,0,0,15183.666166863894,,ok
B-POL-QN,MB,206,50,10,46000,102,79,5,24000,,,,,5.0610028,70000,70000,70000,70000,70000,0,0,13831.250992392259,,phy. not avilable
B-POL-QT,MB,202,40,9,34290,162,40,6,18850,104,82,7,37400,6.05017472,90540,90540,90540,90540,90540,0,0,14964.857081019967,,ok
B-POL-SN,MB,204,48,6,31000,106,96,3,15100,,,,,3.1533696,46100,46100,46100,46100,46100,0,0,14619.28217992588,,ok
B-RVB-D30N, ,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,phy. not avilable
B-RVB-D36N,SB,188,44,9,33270,,,,,,,,,2.62950336,33270,33270,33270,33270,33270,0,0,12652.579382899134,,ok
B-RVB-KN,MB,206,50,8,45600,105,96,5,27600,,,,,4.690496,73200,73200,73200,73200,73200,0,0,15606.025460846784,,ok
B-RVB-QN,MB,205,50,8,41950,104,84,5,23100,,,,,4.4390176,65050,65050,65050,65050,65050,0,0,14654.143295129086,,ok
B-RVB-SN,MB,199,38,9,30460,99,54,5,16000,,,,,3.34791216,46460,46460,46460,46460,46460,0,0,13877.305550334391,,ok
BT-CO,SB,72,39,5,6470,,,,,,,,,0.4958928,6470,6470,6470,6470,6470,0,0,13047.174711953874,,ok
BT-HE,SB,42,41,6,4300,,,,,,,,,0.36492623999999996,4300,4300,4300,4300,4300,0,0,11783.203093315517,,ok
BT-LE-B,`,64,58,12,15000,,,,,,,,,1.57329408,15000,15000,15000,15000,15000,0,0,9534.136173702504,,phy. not avilable
BT-LE-S, ,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,phy. not avilable
BT-OL,SB,48,45,5,7700,,,,,,,,,0.381456,7700,7700,7700,7700,7700,0,0,20185.814353424772,,ok
BT-OL-D,SB,60,44,7,10490,,,,,,,,,0.6527136,10490,10490,10490,10490,10490,0,0,16071.367288807833,,ok
CMB-RELO, ,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,phy. not avilable
CT-ATD-LA,SB,123,56,5,24490,,,,,,,,,1.2164207999999999,24490,24490,24490,24490,24490,0,0,20132.835610834674,,phy. not avilable
CT-ATD,SB,,,,15800,,,,,,,,,0,15800,15800,15800,15800,15800,0,0,,,phy. not avilable
CT-ATD-ST,SB,112,51,5,14800,,,,,,,,,1.0087392,14800,14800,14800,14800,14800,0,0,14671.780376929935,,ok
CT-DOV,SB,111,50,8,21750,,,,,,,,,1.568208,21750,21750,21750,21750,21750,0,0,13869.333659820635,,ok
CT-ETE,SB,106,50,7,12400,,,,,,,,,1.310372,12400,12400,12400,12400,12400,0,0,9462.961662794993,,ok
CT-GSE-RT,SB,99,50,4,6120,,,,,,,,,0.6993360000000001,6120,6120,6120,6120,6120,0,0,8751.158241531966,,ok
CT-GSE-RT2,SB,98,51,4,11390,,,,,,,,,0.70611744,11390,11390,11390,11390,11390,0,0,16130.461244520458,,ok
CT-GSE-SQ,SB,75,75,4,8200,,,,,,,,,0.7947,8200,8200,8200,8200,8200,0,0,10318.359129231158,,ok
CT-GSE-SQ2,SB,76,76,4,12200,,,,,,,,,0.81603328,12200,12200,12200,12200,12200,0,0,14950.370651549898,,ok
CT-KV-RT,SB,105,51,7,11800,,,,,,,,,1.3239702,11800,11800,11800,11800,11800,0,0,8912.587307478672,,phy. not avilable
CT-KV-SQ,SB,81,80,7,16900,,,,,,,,,1.6021151999999999,16900,16900,16900,16900,16900,0,0,10548.554810540467,,ok
CT-LE,SB,114,56,7,10850,,,,,,,,,1.57838016,10850,10850,10850,10850,10850,0,0,6874.136076317634,,phy. not avilable
CT-MD-RT,SB,104,60,7,17700,,,,,,,,,1.5427776,17700,17700,17700,17700,17700,0,0,11472.813709506801,,phy. not avilable
